variant,canonical_locality,ward_name,ward_no,zone
श्रीनिवासपुरी रोड,श्रीनिवासपुरी,श्रीनिवासपुरी,174,सेंट्रल ज़ोन
केशोपुर मंडी वाला इलाका,केशोपुर मंडी Area,केशोपुर,103,वेस्ट ज़ोन
जहांगीरपुरी ए ब्लाक,जहाँगीरपुरी ब्लॉक ए,जहाँगीरपुरी,18,सिविल लाइंस ज़ोन
डीआरडीओ दफ्तर तिमारपुर,डीआरडीओ आरएसी,तिमारपुर,11,सिविल लाइंस ज़ोन
chirag delhi metro side,chirag delhi village,chirag delhi,172,south zone
tughlakabad area,tughlakabad village,tughlakabad,170,south zone
खजूरी खास एक्सटेंशन वाली गली,खजूरी खास एक्सटेंशन,सादतपुर,247,शाहदरा नॉर्थ ज़ोन
सेरपुर,शेरपुर,दयालपुर,242,शाहदरा नॉर्थ ज़ोन
baljeet nagar area,baljeet nagar,baljeet nagar,88,karol bagh zone
gtbhospital area,gtb hospital area,nand nagri,220,shahdara north zone
dwarka sec 22,dwarka sector 22,dwarka-c,130,najafgarh zone
महावीर एन्क्लेव पार्ट 1 कॉलोनी,महावीर एन्क्लेव पार्ट 1,महावीर एन्क्लेव,105,नजफगढ़ ज़ोन
शांति निकेतन वाली गली,शांति निकेतन,वसंत विहार,153,साउथ ज़ोन
सरिता विहार पॉकेट एल वाली गली,सरिता विहार pocket l,सरिता विहार,187,साउथ ज़ोन
uttam nager east,uttam nagar east,uttam nagar,115,najafgarh zone
maujpur area,maujpur,maujpur (gen.),228,shahdara north zone
kinari bazar delhi,kinari bazar,chandni chowk,74,city sp zone
निठारी एक्सटेंशन एरिया,निठारी एक्सटेंशन,निठारी,40,रोहिणी ज़ोन
south extension 1,south extension part 1,kotla mubarakpur,147,south zone
निलोठी एक्सटेंशन कॉलोनी,निलोठी एक्सटेंशन,कुंवर सिंह,110,नजफगढ़ ज़ोन
कनैया नगर,कन्हैया नगर,केशव पुरम,64,केशव पुरम ज़ोन
ashok vihar ph-2,ashok vihar phase 2,ashok vihar,65,keshav puram zone
mahaveer enclave part 2,mahavir enclave part 2,mahaveer enclave,105,najafgarh zone
शालीमार बाग ए ब्लॉक एरिया,शालीमार बाग ब्लॉक ए,शालीमार बाग - ए,55,केशव पुरम ज़ोन
jahangirpuri block k,jahangirpuri block k,jahangir puri,18,civil lines zone
samay pur village,samaypur village,samaypur badli,20,civil lines zone
nhal vihar,nihal vihar,nihal vihar,47,rohini zone
सेक्टर ६ आरके पुरम,आरके पुरम सेक्टर 6,आर.के. पुरम,152,साउथ ज़ोन
surajkund rd,surajkund road,pul pehladpur,179,south zone
prashant vhar,prashant vihar,rohini-c,51,rohini zone
jahangir puri block i,jahangirpuri block i,jahangir puri,18,civil lines zone
प्रभु दयाल बस्ती,प्रभु दयाल एरिया,शालीमार बाग - बी,56,केशव पुरम ज़ोन
पालम दिल्ली,पालम गाँव,पालम,135,नजफगढ़ ज़ोन
triveni colony,triveni colony,bakhtawarpur,5,narela zone
sultanpuri blockf,sultanpuri block f,sultanpuri-b,44,rohini zone
नारायणा विहार कॉलोनी,नारायणा विहार,नारायणा,139,करोल बाग ज़ोन
sarita vihar h pocket,sarita vihar pocket h,sarita vihar,187,south zone
वी3एस मॉल के पास,वी3एस मॉल क्षेत्र,लक्ष्मी नगर,203,ईस्ट ज़ोन
जहांगीरपुरी जे ब्लॉक एरिया,जहाँगीरपुरी ब्लॉक जे,जहाँगीरपुरी,18,सिविल लाइंस ज़ोन
sangam vihar pusta d,sangam vihar block d,sangam vihar-b,169,south zone
tagore garden extension delhi,tagore garden extension,raghubir nagar,94,west zone
bodella gaon,bodella village,vikas puri,107,west zone
pushp vihar sector4,pushp vihar sector 4,pushp vihar,166,south zone
narela mandii,narela mandi,narela,1,narela zone
रानी बाग रोड मार्केट,रानी बाग Main Market,रानी बाग,60,केशव पुरम ज़ोन
r k puram sector 12,rk puram sector 12,r.k. puram,152,south zone
सैक्टर २ द्वारका,द्वारका सेक्टर 2,द्वारका - ए,121,नजफगढ़ ज़ोन
जीके 2,जीके-2,ग्रेटर कैलाश,173,साउथ ज़ोन
jagatpuri,jagatpuri (parts),anarkali,208,shahdara south zone
बुध विहार ब्लॉक ए,बुध विहार फेज़ 1,बुध विहार,25,रोहिणी ज़ोन
rohni sec 9,rohini sector 9,rohini-c,51,rohini zone
babarpur delhi,babarpur (parts),kabir nagar (gen),234,shahdara north zone
garhi vllg,garhi village,amar colony,146,central zone
saraswati kunj delhi,saraswati kunj,ip extension,205,east zone
माया इनक्लेव,माया एन्क्लेव,राजौरी गार्डन,96,वेस्ट ज़ोन
subhadra colny,subhadra colony,shastri nagar,70,city sp zone
pooth khurd delhi,pooth khurd village,pooth khurd,29,narela zone
raj nagar 2,raj nagar part 2,raj nagar,134,najafgarh zone
shakurpur vill,shakur pur village,shakur pur,62,keshav puram zone
आरके पुरम सेक्टर-8,आरके पुरम सेक्टर 8,आर.के. पुरम,152,साउथ ज़ोन
द्वारका सैक्टर 13,द्वारका सेक्टर 13,द्वारका - बी,120,नजफगढ़ ज़ोन
jhangirpuri block b,jahangirpuri block b,jahangir puri,18,civil lines zone
bd estate,bd estate,timarpur,11,civil lines zone
ब्रह्मपुरी कॉलोनी,ब्रह्मपुरी,ब्रह्मपुरी (women),229,शाहदरा नॉर्थ ज़ोन
नेहरू विहार मुस्तफाबाद,नेहरू विहार मुस्तफाबाद,नेहरू विहार,244,शाहदरा नॉर्थ ज़ोन
sanjay gandhi hosp area,sanjay gandhi hospital area,mangol puri,42,rohini zone
tukhmir pur,tukhmirpur,karawal nagar,248,shahdara north zone
thana road delhi,thana road,najafgarh,127,najafgarh zone
तिगड़ी एक्सटेंशन रोड,तिगड़ी एक्सटेंशन,तिगड़ी,162,साउथ ज़ोन
bhalswa dairy,bhalswa dairy,bhalswa,17,civil lines zone
zakir ngr,zakir nagar,zakir nagar,189,central zone
trlokpuri block 18,trilokpuri block 18,trilokpuri,192,east zone
hauz kazi,hauz qazi,bazar sita ram,78,city sp zone
सरिता विहार पॉकेट-ई,सरिता विहार पॉकेट ई,सरिता विहार,187,साउथ ज़ोन
siddharth ext,siddharth ext,sidhartha nagar,143,central zone
rani khaira village,rani khera village,rani khera,33,narela zone
अशोक विहार दिल्ली 1,अशोक विहार फेज़ 1,अशोक विहार,65,केशव पुरम ज़ोन
trilokpuri 20 block,trilokpuri block 20,trilokpuri,192,east zone
समयपुर विलेज,समयपुर गाँव,समयपुर बादली,20,सिविल लाइंस ज़ोन
prashant vihar delhi,prashant vihar,rohini-c,51,rohini zone
sonia vihar extension colony,sonia vihar extension,sabapur,250,shahdara north zone
करावल नगर दिल्ली मेन,करावल नगर मेन,करावल नगर,248,शाहदरा नॉर्थ ज़ोन
tughlakabad extension,tughlakabad extension,tughlakabad,178,south zone
खजूरी खास एक्सटेंशन,खजूरी खास एक्सटेंशन,सादतपुर,247,शाहदरा नॉर्थ ज़ोन
gokulpuri metro station side,gokulpuri (parts),joharipur,240,shahdara north zone
सैक्टर 3 द्वारका,द्वारका सेक्टर 3,द्वारका - ए,121,नजफगढ़ ज़ोन
derawal nagar market,derawal nagar,model town,68,keshav puram zone
karan vihaar,karan vihar,aman vihar,41,rohini zone
द्वारका सेक्टर 9,द्वारका सेक्टर 9,द्वारका - ए,121,नजफगढ़ ज़ोन
ghonda vilage,ghonda village,ghonda (women),231,shahdara north zone
burariblock a,burari block a,burari,6,civil lines zone
जवाहर पार्क रोड,जवाहर पार्क,देवली,161,साउथ ज़ोन
nangli sakrawati road,nangli sakrawati,nangli sakrawati,124,najafgarh zone
मदंगिर गाँव,मदनगीर गाँव,मदनगीर,165,साउथ ज़ोन
मंगोलपुरी पुनर्वास एरिया,मंगोलपुरी पुनर्वास क्षेत्र,मंगोलपुरी-बी,50,रोहिणी ज़ोन
गालिब की हवेली वाली गली,ग़ालिब की हवेली,बल्लीमारान,79,सिटी एसपी ज़ोन
gokalpur vllg,gokalpur village,gokalpuri,239,shahdara north zone
निरंकारी कालोनी दिल्ली,निरंकारी कॉलोनी,धीरपुर,14,सिविल लाइंस ज़ोन
कृषि कुंज वाली गली,कृषि कुंज,इंद्रपुरी,140,करोल बाग ज़ोन
चौहान बांगर रोड,चौहान बांगर,चौहान बांगर (women),227,शाहदरा नॉर्थ ज़ोन
रोहिणी सेक्टर ३,रोहिणी सेक्टर 3,रोहिणी-डी,54,रोहिणी ज़ोन
वेलकम कॉलोनी फेज 2,वेलकम फेज 2,वेलकम कॉलोनी,224,शाहदरा नॉर्थ ज़ोन
sunder nagree,sunder nagri,sunder nagri,218,shahdara north zone
baljeet nagar,baljeet nagar,baljeet nagar,88,karol bagh zone
घड़ोली डेयरी वाला इलाका,घड़ोली डेयरी फार्म,घड़ोली,194,ईस्ट ज़ोन
मॉडल टाउन दूसरा हिस्सा,मॉडल टाउन 2,मॉडल टाउन,68,केशव पुरम ज़ोन
ब्रह्मपुरी एरिया,ब्रह्मपुरी,ब्रह्मपुरी (women),229,शाहदरा नॉर्थ ज़ोन
burari village delhi,burari village,burari,6,civil lines zone
mayapuri,mayapuri,hari nagar,99,west zone
bindapur village uttam nagar side,bindapur village,bindapur,116,najafgarh zone
prashant vihar,prashant vihar,rohini-c,51,rohini zone
अमर कॉलोनी,अमर कॉलोनी,अमर कॉलोनी,146,सेंट्रल ज़ोन
iit campus,iit delhi,hauj khas,148,south zone
मीरा बाग दिल्ली,मीरा बाग,पश्चिम विहार,59,केशव पुरम ज़ोन
nanglisakrawati,nangli sakrawati,nangli sakrawati,124,najafgarh zone
janakpuri district centre,district centre,janakpuri west,106,west zone
ashok vihaar phase 1,ashok vihar phase 1,ashok vihar,65,keshav puram zone
पटपड़गंज मुख्य गांव,पटपड़गंज गाँव,पटपड़गंज,197,ईस्ट ज़ोन
गढ़ी ग्राम,गढ़ी गाँव,अमर कॉलोनी,146,सेंट्रल ज़ोन
कुतुब मीनार क्षेत्र,कुतुब मीनार एरिया,लाडो सराय,154,साउथ ज़ोन
ग्रेटर कैलाश-1,जीके-1,ग्रेटर कैलाश,173,साउथ ज़ोन
kamal poor,kamalpur,burari,6,civil lines zone
mahavirenclave part 1,mahavir enclave part 1,mahaveer enclave,105,najafgarh zone
trilokpuri block-28,trilokpuri block 28,trilokpuri,192,east zone
बुध विहार फेज़ 2,बुध विहार फेज़ 2,बुध विहार,25,रोहिणी ज़ोन
begam pur,begumpur,malviya nagar,149,south zone
karampura road,karampura,karam pura,89,karol bagh zone
किराड़ी सुलेमाननगर,किराड़ी सुलेमान नगर,किराड़ी,37,रोहिणी ज़ोन
hemkunt enclave side,hemkunt colony,greater kailash,173,south zone
सुल्तानपुरी सी ब्लॉक,सुल्तानपुरी ब्लॉक सी,सुल्तानपुरी-ए,43,रोहिणी ज़ोन
sltanpuri block e,sultanpuri block e,sultanpuri-b,44,rohini zone
महावीर एन्क्लेव भाग 2,महावीर एन्क्लेव पार्ट 2,महावीर एन्क्लेव,105,नजफगढ़ ज़ोन
कृषिकुंज,कृषि कुंज,इंद्रपुरी,140,करोल बाग ज़ोन
mayapuri delhi,mayapuri,hari nagar,99,west zone
आनंद पर्वत फैक्ट्री एरिया,आनंद पर्वत औद्योगिक क्षेत्र,बलजीत नगर,88,करोल बाग ज़ोन
पन्जाबी बाग,पंजाबी बाग,पंजाबी बाग,92,केशव पुरम ज़ोन
majnu ka tilla,majnu ka tilla,civil lines,73,civil lines zone
golcha cinema theater area,golcha cinema area,daryaganj,142,city sp zone
hauz qazi area,hauz qazi,bazar sita ram,78,city sp zone
जहांगीरपुरी ब्लॉक आई दिल्ली,जहाँगीरपुरी ब्लॉक आई,जहाँगीरपुरी,18,सिविल लाइंस ज़ोन
शाहीन बाग वाली गली,शाहीन बाग,अबुल फजल एन्क्लेव,188,सेंट्रल ज़ोन
ज्योति नगर मार्केट,ज्योति नगर,कर्दमपुरी,236,शाहदरा नॉर्थ ज़ोन
adarsh nagar delhi,adarsh nagar,adarsh nagar,15,civil lines zone
वसंत कुंज सेक्टर सी वाली गली,वसंत कुंज सेक्टर सी,वसंत कुंज,156,साउथ ज़ोन
ग्रेटर कैलाश पार्ट 2,जीके-2,ग्रेटर कैलाश,173,साउथ ज़ोन
शालीमार बाग ए ब्लॉक,शालीमार बाग ब्लॉक ए,शालीमार बाग - ए,55,केशव पुरम ज़ोन
bhajan pura market,bhajanpura,bhajanpura (gen),230,shahdara north zone
modeltown 2,model town 2,model town,68,keshav puram zone
tahirpur delhi,tahirpur village,dilshad colony,217,shahdara south zone
निर्माण विहार,निर्माण विहार,प्रीत विहार,204,ईस्ट ज़ोन
trilokpuri block-21,trilokpuri block 21,trilokpuri,192,east zone
jindpur,jindpur,alipur,4,narela zone
dwarka sector 21,dwarka sector 21,dwarka-c,130,najafgarh zone
उस्मानपुर गांव,उस्मानपुर,गौतम पुरी (gen.),226,शाहदरा नॉर्थ ज़ोन
कराला ग्राम,कराला,कंझावला,32,नरेला ज़ोन
khajoori khas extension,khajoori khas extension,sadatpur,247,shahdara north zone
narainaindarea,naraina industrial area,naraina,139,karol bagh zone
निठारी एक्सटेंसन,निठारी एक्सटेंशन,निठारी,40,रोहिणी ज़ोन
अगर नगर,अगर नगर,किराड़ी,37,रोहिणी ज़ोन
मंगोल पुरी कलां,मंगोलपुरी कलां,मंगोलपुरी-ए,49,रोहिणी ज़ोन
jahangirpuri block j,jahangirpuri block j,jahangir puri,18,civil lines zone
reeshi nagar,rishi nagar,rani bagh,60,keshav puram zone
sitapuri vicinity,sitapuri,dabri,117,najafgarh zone
nangloi jat region,nangloi jat,nangloi jat,46,rohini zone
punjabicolony,punjabi colony,narela,1,narela zone
v3s mall junction,v3s mall area,laxmi nagar,203,east zone
आईपी एक्सटेंशन दिल्ली,आईपी एक्सटेंशन,आईपी एक्सटेंशन,205,ईस्ट ज़ोन
न्यू अशोक नगर दिल्ली,न्यू अशोक नगर,न्यू अशोक नगर,190,शाहदरा साउथ ज़ोन
पस्चिम विहार वेस्ट,पश्चिम विहार वेस्ट,पश्चिम विहार,59,केशव पुरम ज़ोन
मधु विहार मार्केट,मधु विहार,पटपड़गंज,197,ईस्ट ज़ोन
madipur jj colony road,madipur jj colony,madipur,93,west zone
zakhira area,zakhira,karam pura,89,karol bagh zone
sainik enclave delhi,sainik enclave,sainik enclave,112,najafgarh zone
नई सड़क,नई सड़क,चाँदनी चौक,74,सिटी एसपी ज़ोन
जीटीबी अस्पताल रोड,जीटीबी अस्पताल क्षेत्र,नंद नगरी,220,शाहदरा नॉर्थ ज़ोन
rangpuri mahipalpur,rangpuri,mahipalpur,133,najafgarh zone
vishnu garden tilak nagar side,vishnu garden,vishnu garden,95,west zone
ashok vihar p3,ashok vihar phase 3,ashok vihar,65,keshav puram zone
east kailash delhi,east of kailash,amar colony,146,central zone
gulmohur park,gulmohar park,green park,150,south zone
ओख़्ला एस्टेट,ओखला एस्टेट,श्रीनिवासपुरी,174,सेंट्रल ज़ोन
punjabi colony,punjabi colony,narela,1,narela zone
batla house okhla,batla house,zakir nagar,189,central zone
sanjay lake area,sanjay lake area,mayur vihar phase-ii,196,east zone
chawri bazar delhi,chawri bazar,bazar sita ram,78,city sp zone
ghitorni delhi,ghitorni,aya nagar,157,south zone
kushak no.1,kushak no. 1,kadipur,7,civil lines zone
vikas nagar,vikas nagar,hastsal,108,west zone
सुंदर नगरी दिल्ली,सुंदर नगरी,सुंदर नगरी,218,शाहदरा नॉर्थ ज़ोन
yadav nagar badli,yadav nagar,samaypur badli,20,civil lines zone
bhajanpuree,bhajanpura,bhajanpura (gen),230,shahdara north zone
chhawla village najafgarh,chhawla village,chhawala,125,najafgarh zone
gur mandi area,gur mandi,sangam park,67,keshav puram zone
लाजपत नगर दिल्ली 1,लाजपत नगर 1,लाजपत नगर,144,सेंट्रल ज़ोन
ईश्वर नगर वाली गली,ईश्वर नगर,श्रीनिवासपुरी,174,सेंट्रल ज़ोन
घंटाघर दिल्ली,घंटा घर एरिया,हरि नगर,99,वेस्ट ज़ोन
कुतुब मीनार जंक्शन,कुतुब मीनार एरिया,लाडो सराय,154,साउथ ज़ोन
dwarka sector 9,dwarka sector 9,dwarka - a,121,najafgarh zone
krishi kunj road,krishi kunj,inder puri,140,karol bagh zone
आनंद पर्वत औद्योगिक रोड,आनंद पर्वत औद्योगिक क्षेत्र,बलजीत नगर,88,करोल बाग ज़ोन
भाटी माइंस गांव,भाटी माइंस,भाटी,158,साउथ ज़ोन
सेक्टर 6 रोहिणी,रोहिणी सेक्टर 6,रोहिणी-ई,53,रोहिणी ज़ोन
अगर नगर एरिया,अगर नगर,किराड़ी,37,रोहिणी ज़ोन
trilok puri block 22,trilokpuri block 22,trilokpuri,192,east zone
laddo sarai village,lado sarai village,lado sarai,154,south zone
newanarkali,new anarkali,anarkali,208,shahdara south zone
pahar ganj main market,paharganj main bazar,pahar ganj,82,city sp zone
मोतिया खान दिल्ली,मोतिया खान,कुरैश नगर,81,सिटी एसपी ज़ोन
कृष्णा नगर एरिया,कृष्णा नगर,कृष्णा नगर,211,शाहदरा साउथ ज़ोन
trilokpuriblock 27,trilokpuri block 27,trilokpuri,192,east zone
jahangirpuri blki,jahangirpuri block i,jahangir puri,18,civil lines zone
daryapur kalan area,daryapur kalan,nangal thakran,31,narela zone
trlokpuri block 10,trilokpuri block 10,trilokpuri,192,east zone
तिगरी कालोनी,तिगड़ी कॉलोनी,तिगड़ी,162,साउथ ज़ोन
sadh nagar,sadh nagar,sadh nagar,138,najafgarh zone
rohtas nagar east area,rohtas nagar east,rohtash nagar,223,shahdara north zone
kesav puram,keshav puram,keshav puram,64,keshav puram zone
khirki extension malviya nagar,khirki extension,malviya nagar,149,south zone
sham nagar colony,sham nagar,khyala,102,west zone
pamposhenclave,pamposh enclave,greater kailash,173,south zone
कालकाजी दिल्ली,कालकाजी मेन,कालकाजी,175,साउथ ज़ोन
asafali road,asaf ali road,delhi gate,77,city sp zone
लाजपत नगर फेज 4,लाजपत नगर 4,लाजपत नगर,144,सेंट्रल ज़ोन
दक्खिनपुरी,दक्षिणपुरी,दक्षिणपुरी,164,साउथ ज़ोन
विधान सभा क्षेत्र,विधान सभा एरिया,सिविल लाइंस,73,सिविल लाइंस ज़ोन
शकरपुर दिल्ली,शकरपुर,शकरपुर,202,ईस्ट ज़ोन
रोहिणी सेक्टर 3,रोहिणी सेक्टर 3,रोहिणी-डी,54,रोहिणी ज़ोन
budh vihar ph 1,budh vihar phase 1,budh vihar,25,rohini zone
east azad nagar metro,east azad nagar,azad nagar,214,shahdara south zone
सीतापुरी वाली गली,सीतापुरी,डाबड़ी,117,नजफगढ़ ज़ोन
वसन्त कुंज सेक्टर बी,वसंत कुंज सेक्टर बी,वसंत कुंज,156,साउथ ज़ोन
rohini sect 9,rohini sector 9,rohini-c,51,rohini zone
नरेला इंडस्ट्रियल एरिया,नरेला इंडस्ट्रियल एरिया,नरेला,1,नरेला ज़ोन
मायापुरी दिल्ली,मायापुरी,हरि नगर,99,वेस्ट ज़ोन
bakkarwala gaon,bakkarwala,baprola,111,najafgarh zone
model town phase 3,model town phase 3,azadpur,16,civil lines zone
किशनगंज रेलवे कॉलोनी,किशन गंज रेलवे कॉलोनी,किशन गंज,71,सिटी एसपी ज़ोन
old mahavir nagar colony,old mahavir nagar,tilak nagar,101,west zone
sudarshan park blocks,sudarshan park,moti nagar,90,karol bagh zone
रिठाला ग्राम पंचायत,रिठाला गाँव,रिठाला,23,रोहिणी ज़ोन
कबीरनगर,कबीर नगर,कबीर नगर (gen),234,शाहदरा नॉर्थ ज़ोन
त्रिलोकपुरी ब्लॉक,त्रिलोकपुरी ब्लॉक 1 से 36,त्रिलोकपुरी,192,ईस्ट ज़ोन
मौर्य एन्क्लेव कॉलोनी,मौर्य एन्क्लेव,पीतमपुरा,57,केशव पुरम ज़ोन
dilshad colony area,dilshad colony,dilshad colony,217,shahdara south zone
सेक्टर 15 रोहिणी,रोहिणी सेक्टर 15,रोहिणी-बी,22,रोहिणी ज़ोन
lajpat nagar pt 3,lajpat nagar 3,lajpat nagar,144,central zone
dwarka secter 2,dwarka sector 2,dwarka - a,121,najafgarh zone
meera bag,meera bagh,paschim vihar,59,keshav puram zone
बीडी स्टेट,बीडी एस्टेट,तिमारपुर,11,सिविल लाइंस ज़ोन
भलस्वा लेक एरिया,भलस्वा लेक एरिया,भलस्वा,17,सिविल लाइंस ज़ोन
rohinisec9,rohini sector 9,rohini-c,51,rohini zone
कर्दमपुरी दिल्ली,कर्दमपुरी,कर्दमपुरी,236,शाहदरा नॉर्थ ज़ोन
south extension part 2,south extension part 2,andrews ganj,145,central zone
मंडोली एरिया,मंडोली,अशोक नगर,221,शाहदरा नॉर्थ ज़ोन
सागरपुर ईस्ट कॉलोनी,सागरपुर ईस्ट,सागरपुर,118,नजफगढ़ ज़ोन
rk puram sector7,rk puram sector 7,r.k. puram,152,south zone
vaishali pitampur,vaishali,pitam pura,57,keshav puram zone
mahavir enclave p-1,mahavir enclave part 1,mahaveer enclave,105,najafgarh zone
gandhi nagar delhi,gandhi nagar market,gandhi nagar,212,shahdara south zone
sarita vihar delhi pocket a,sarita vihar pocket a,sarita vihar,187,south zone
rohinisec6,rohini sector 6,rohini-e,53,rohini zone
shanti niketan road,shanti niketan,vasant vihar,153,south zone
ramesh nagar colony,ramesh nagar,ramesh nagar,91,karol bagh zone
बलजीत नगर दिल्ली,बलजीत नगर,बलजीत नगर,88,करोल बाग ज़ोन
chanakya place area,chanakya place,dabri,117,najafgarh zone
isapur vllg,isapur village,isapur,126,najafgarh zone
mundka gaon delhi,mundka village,mundka,35,rohini zone
sham nagar khyala,sham nagar,khyala,102,west zone
buland maszid,buland masjid,shastri park,213,shahdara north zone
dakshinpuree,dakshinpuri,dakshin puri,164,south zone
किनारी बाज़ार चांदनी चौक,किनारी बाज़ार,चाँदनी चौक,74,सिटी एसपी ज़ोन
govindpuri extension colony,govindpuri extension,govind puri,176,south zone
dwarka sec 10,dwarka sector 10,dwarka - a,121,najafgarh zone
sita ram bazar delhi,sita ram bazar,bazar sita ram,78,city sp zone
munirka delhi,munirka village,munirka,151,south zone
tank road karol bagh,tank road market,dev nagar,84,karol bagh zone
बिजवासन गाँव,बिजवासन गाँव,बिजवासन,131,नजफगढ़ ज़ोन
भजनपुरा,भजनपुरा,भजनपुरा (gen),230,शाहदरा नॉर्थ ज़ोन
मिठापुर गाँव,मीठापुर गाँव,मीठापुर,182,साउथ ज़ोन
बवाना कारखाना क्षेत्र,डीएसआईआईडीसी इंडस्ट्रियल एरिया,बवाना,30,नरेला ज़ोन
sri ram colony,sri ram colony,sri ram colony,246,shahdara north zone
kohat enclave pitampura,kohat enclave,kohat enclave,61,keshav puram zone
sngam vihar block b,sangam vihar block b,sangam vihar - a,163,south zone
सीता राम बाज़ार मार्केट,सीता राम बाज़ार,बाज़ार सीता राम,78,सिटी एसपी ज़ोन
मदनगीर ग्राम,मदनगीर गाँव,मदनगीर,165,साउथ ज़ोन
सेक्टर 6 द्वारका,द्वारका सेक्टर 6,द्वारका - ए,121,नजफगढ़ ज़ोन
daryapur kalan,daryapur kalan,nangal thakran,31,narela zone
safdarjung development area,sda,green park,150,south zone
तुगलकाबाद गाँव,तुगलकाबाद गाँव,तुगलकाबाद,170,साउथ ज़ोन
मुंडका इंडस्ट्रियल,मुंडका इंडस्ट्रियल एरिया,मुंडका,35,रोहिणी ज़ोन
rama park delhi,rama park,mohan garden,113,najafgarh zone
subhash mohalla area,subhash mohalla,subhash mohalla(women ),233,shahdara north zone
द्वारका सैक्टर ७,द्वारका सेक्टर 7,द्वारका - ए,121,नजफगढ़ ज़ोन
मुनिरका विलेज,मुनिरका गाँव,मुनिरका,151,साउथ ज़ोन
करावल नगर कॉलोनी ईस्ट,करावल नगर ईस्ट,करावल नगर ईस्ट,241,शाहदरा नॉर्थ ज़ोन
sri ram colony road,sri ram colony,sri ram colony,246,shahdara north zone
सेक्टर 12 द्वारका,द्वारका सेक्टर 12,द्वारका - बी,120,नजफगढ़ ज़ोन
amar colny,amar colony,amar colony,146,central zone
kapilvihar,kapil vihar,kohat enclave,61,keshav puram zone
begumpur village,begumpur village,begumpur,27,narela zone
सरिता विहार पॉकेट डी वाली गली,सरिता विहार पॉकेट डी,सरिता विहार,187,साउथ ज़ोन
clock tower area,clock tower area,hari nagar,99,west zone
jharoda majira,jharoda majra,jharoda,10,civil lines zone
milan cinema vicinity,milan cinema area,karam pura,89,karol bagh zone
अलिपुर विलेज,अलीपुर गाँव,अलीपुर,4,नरेला ज़ोन
बुराड़ी बस्ती,बुराड़ी गाँव,बुराड़ी,6,सिविल लाइंस ज़ोन
vikas nagar ranhola,vikas nagar,vikas nagar,109,west zone
मोलरबंद वाली गली,मोलरबंद,मोलरबंद,181,साउथ ज़ोन
जेएनयू परिसर,जेएनयू कैंपस,मुनिरका,151,साउथ ज़ोन
चितरंजन पार्क कॉलोनी,चितरंजन पार्क,चितरंजन पार्क,171,साउथ ज़ोन
सिविल लाइंस,सिविल लाइंस,सिविल लाइंस,73,सिविल लाइंस ज़ोन
बेगमपुर विलेज,बेगमपुर,मालवीय नगर,149,साउथ ज़ोन
sanjay gandhi hospital,sanjay gandhi hospital area,mangol puri,42,rohini zone
मायापुरी फेज 2,मायापुरी,हरि नगर,99,वेस्ट ज़ोन
lajpat nagar part 4,lajpat nagar 4,lajpat nagar,144,central zone
okhla phase 3,okhla phase 3,harkesh nagar,177,south zone
rhni sec 9,rohini sector 9,rohini-c,51,rohini zone
hari nagar extension colony,hari nagar extension,hari nagar extension,183,south zone
delhi gate metro,delhi gate,delhi gate,77,city sp zone
कड़कड़डूमा कोर्ट साइड,कड़कड़डूमा,आनंद विहार,206,शाहदरा साउथ ज़ोन
sarita vihar pocket-h,sarita vihar pocket h,sarita vihar,187,south zone
patparganj vllg,patparganj village,patpar ganj,197,east zone
जिंदपुर ग्राम,जींदपुर,अलीपुर,4,नरेला ज़ोन
kalindikunj,kalindi kunj,madanpur khadar east,185,south zone
अलकनंदा दिल्ली,अलकनंदा,चितरंजन पार्क,171,साउथ ज़ोन
vikaspuri blk a,vikaspuri block a,vikas puri,107,west zone
बीजेआरएम हस्पताल,बीजेआरएम अस्पताल,जहाँगीरपुरी,18,सिविल लाइंस ज़ोन
rohini s1,rohini sector 1,rohini-f,52,rohini zone
ओल्ड महावीर नगर कॉलोनी,ओल्ड महावीर नगर,तिलक नगर,101,वेस्ट ज़ोन
janakpuri block d,janakpuri block d,janak puri south,104,west zone
rohini sec 16 b block,rohini sector 16 block b,rohini-b,22,rohini zone
shyamcolony,shyam colony,budh vihar,25,rohini zone
karala gaon,karala,kanjhawala,32,narela zone
वज़ीरपुर देहात,वज़ीरपुर गाँव,वज़ीरपुर,66,केशव पुरम ज़ोन
सूरजमल स्टेडियम पार्क,सूरजमल स्टेडियम एरिया,नांगलोई,34,रोहिणी ज़ोन
संगम विहार बी ब्लॉक,संगम विहार ब्लॉक बी,संगम विहार - ए,163,साउथ ज़ोन
आरके पुरम सेक्टर-2,आरके पुरम सेक्टर 2,आर.के. पुरम,152,साउथ ज़ोन
पश्चिम सागरपुर,सागरपुर वेस्ट,सागरपुर,118,नजफगढ़ ज़ोन
vasant kunj a-block,vasant kunj sector a,vasant kunj,156,south zone
bwana village,bawana village,bawana,30,narela zone
rohini sector 3,rohini sector 3,rohini-d,54,rohini zone
भेरा एन्क्लेव पश्चिम विहार,भेरा एन्क्लेव,गुरु हरकिशन नगर,48,रोहिणी ज़ोन
ramapark,rama park,mohan garden,113,najafgarh zone
matia mahal lane,matia mahal,jama masjid,75,city sp zone
jahangirpuri blkd,jahangirpuri block d,jahangir puri,18,civil lines zone
ptparganj village,patparganj village,patpar ganj,197,east zone
